GlAccount,LongDescription,ShortDescription
10000000,Petty Cash,Petty Cash
10101100,BK:Scotia Bank Confirmed Cash 476960256013,Scotia Bank   CC
10101101,BK:Scotia CAD - Incoming Clearing,Scotia CAD - In  Clg
10101102,BK:Scotia CAD - Outgoing Clearing,Scotia CAD - Out Clg
10101400,BK:RBC 101-2749 Gen Dep Confirmed Cash 1012749,RBC Gen Dep ConfCash
10101401,BK:RBC 101-2749 Gen Dep Incoming Clearing,RBC Gen In Clg
10101402,BK:RBC 101-2749 Gen Dep Outgoing Clearing,RBC Gen Out Clg
10101450,BK: RBC Heath PAP Dep Confirm Cash Manual 1095975,RBC HeathWH PAP CC
10101600,BK:RBC Banner Confirmed Cash 1313055,"RBC Banner Dep CC  "
10101601,BK:RBC Banner Incoming Clearing,RBC Bank In Clg
10101602,BK:RBC Banner Outgoing Clearing,RBC Bank Out Clg
10101750,BK:RBC Solomon Dep. Confirmed Cash 1284488,RBC Solm Dep. CC
10101751,BK:RBC Solomon Dep. Incoming Clearing,RBC Solm Dep. In Clg
10101752,BK:RBC Solomon Dep. Outgoing Clearing,RBC Solm Dep. Ot Clg
10103000,Deposit A/c used for New Acquistions 1127851,Don't Use-For New Aq
10103050,Disbursement A/c used for New Acquistions 1128024,Don't Use-For New Aq
10103100,Payroll A/c used for New Acquistions 1122647,Don't Use-For New Aq
10103500,BK:RBC UEI 131-355-0 Confirmed Cash 1313550,"RBC UEI  APAK CC "
10103501,BK:RBC UEI 131-355-0 Incoming Clearing,RBC UEI APAK In Clg
10103502,BK:RBC UEI 131-355-0 Outgoing Clearing,RBC UEI APAK out Clg
10104000,Deposit A/c used for New Acquistions 1152917,Don't Use-For New Aq
10104010,Disbursement A/c used for New Acquistions 1152966,Don't Use-For New Aq
10104020,Payroll A/c used for New Acquistions 1153006,Don't Use-For New Aq
10104500,Deposit A/c used for New Acquistions 1153048,Don't Use-For New Aq
10104510,Disbursement A/c used for New Acquistions 1153097,Don't Use-For New Aq
10104520,Payroll A/c used for New Acquistions 1153139,Don't Use-For New Aq
10104580,Deposit A/c used for New Acquistions 1136381,Don't Use-For New Aq
10104600,BK:RBC Wightman DEP Confirm Cash Manual 1136779,RBC Wightman DEP CC
10104610,BK:RBC Wightman DISB Confirm Cash Manual 1136696,RBC Wightman DISB CC
10104620,BK:RBC Wightman PAYRL Confirm Cash Manual 1136209,RBC Wightman  PYRL
10104700,BK: RBC Heath Dep Confirm Cash Manual 1145275,RBC Heath WH  Dep CC
10104710,BK: RBC Heath Disb Confirm Cash Manual 1145317,RBC HeathWH  Disb CC
10104720,BK: RBC Heath Confirm Cash Pyrl Manual 1146273,RBC Heath WH Pyrl
10104730,BK: RBC Heath Online Dep Confi Cash Manual 1096080,RB Heath Online   CC
10104810,Disbursement A/c used for New Acquistions 1136274,Don't Use-For New Aq
10104820,Payroll A/c used for New Acquistions 1136845,Don't Use-For New Aq
10104900,Deposit A/c used for New Acquistions 1136936,Don't Use-For New Aq
10104910,Disbursement A/c used for New Acquistion 1136894,Don't Use-For New Aq
10104920,Payroll A/c used for New Acquistions 1136563,Don't Use-For New Aq
10106100,BK:RBC Banner Returns Confirmed Cash 1312545,RB B Ret Conf-Cash
10106101,BK:RBC Banner Returns Incoming Clearing,RB BannerRet In Clg
10106102,BK:RBC Banner Returns Outgoing Clearing,RB BannerRet Out Clg
10106200,BK: TD Deposits CAD Confirmed Cash 5254761,TD Deposit Conf-Cash
10106201,BK: TD Deposits CAD Incoming Clearing,TD Deposit In Clg
10106202,BK: TD Deposits CAD Outgoing Clearing,TD Deposit Out Clg
10106500,BK:RBC Solomon Disb. Confirmed Cash 1304591,RBC Solm Disb CC
10106501,BK:RBC Solomon Disb. Incoming Clearing,RBC Solm Dis In Clg
10106502,BK:RBC Solomon Disb. Outgoing Clearing,RBC Solm Dis Out Clg
10106800,BK:RBC Payroll Disb Confirmed Cash 1304724,Payrl Disb Conf-Cash
10106801,BK:RBC Payroll Disb Incoming Clearing,Payrl Disb In Clg
10106802,BK:RBC Payroll Disb Outgoing Clearing,Payrl Disb Out Clg
10107600,BK:RBC TerraNet Clrng Comfirmed Cash 1099704,RB TerraNet Clrng CC
10107601,BK:RBC TerraNet Incoming Clearing,"RB TerraNet In Clng "
10107602,BK:RBC TerraNet Outgoing Clearing,RB TerraNet Ot Clng
10107900,BK:RBC USD Confirmed Cash 4024923,RBC Toronto USD CC
10107901,BK:RBC USD Incoming Clearing,RBC To USD IN Clg
10107902,BK:RBC USD Outgoing Clearing,RBC To USD Ot Clg
10108100,Restricted Cash,Restricted  Cash
10108200,BK: TDCT Deposits CAD Confirmed Cash 6905355528,TDCT Deposits CAD CC
10108201,BK: TDCT Deposits CAD Incoming Clearing,TDCT Dep CAD In Clg
10108202,BK: TDCT Deposits CAD Incoming Clearing,TDCT Dep CAD Ot Clg
10109000,Bank FX Adjustment,Bank FX Adjustment
12000000,AR: Trade Control,Trade Control
12000001,AR: Trade Manual,Trade Control Manual
12000101,AR:Acquired Co. Receivables (Manual),Acquired Co. Rec M
12000110,AR:Serv Contracts Rec Banner,Serv Conts Rec Banr
12000120,AR:Accrued Revenue-Base Rental,Accr Rev-Base Rental
12000130,AR:Trade Clearing,Trade Clearing
12000131,AR: NHS Customer Clearing,NHS Customer Clg
12000133,AR: Fastfrate Cleaing Account,Fastfrate Clg Acc
12000200,AR:Sundry,AR:Sundry
12000202,AR:Vendor Rebates,Vendor Rebates
12000203,AR:Accrued Revenue - WH Rental,Accr Rev - WH Rental
12000205,AR:Paid Union Dues - CEP,Paid Union Dues-CEP
12000206,AR:Unapplied Cash,Unapplied Cash
12000322,AR:Employee Receivables Clear,Employee Rec Clear
12000400,AR: Employee Receivables Acqds,Employee Rec Acqds
12000410,AR:Banner Master Billing Cleag,Banr Mstr Biling Clg
12000420,AR:APAK Transfer Clearing,UEI APAK  Trsfr Clg
12000423,AR:APAK Refund Clearing,UEI APAK Refund Clg
12000500,AR:Billed Revenue-Banner,Billed Revenue-Banr
12000502,AR: Billed/Accrd Rev-LivClean,Bil Acc Rev-LivClean
12000503,AR: Enbridge Clearing,Enbridge Clearing
12000506,AR:Transfer EGD chrg clearing,Transfr EGD chrg clg
12000507,AR:Banner/Solomon Clearing,Banner/Solomon Clg
12000510,AR:NHS Enbridge Clearing,NHS Enbridge Clg
12000511,AR:MorEnrgy/Utlbl/VivaEnbrgClr,MrEnrgy/VivaEnbrgClr
12003300,AR:Trade Rec (IFS) control act,Trade Rec (IFS) ctl
12009000,"AR FX Adjustment- Revaluation                     ","AR FX Adjs          "
12200300,AR: HVAC rent free discount-LT,HVAC rnt fr disct-LT
12200305,AR: HVAC rent free discount-ST,HVAC rnt fre dist-ST
12200306,AR:RHVAC gift card promo ST,HVAC gift crd prm ST
12200398,AR: HVAC rent free LT-Canco,HVAC rnt fre LT-Canc
12200399,AR: HVAC rent free ST-Canco,HVAC rnt fre ST-Canc
12200407,AR:RHVAC gift card promo LT,HVAC gift crd prm LT
12400421,AR: Billed Revenue - APAK,Billed Rev - APAK
12400425,AR: APAK Interest Receivable,APAK Interest Rec
12400426,AR:APAK Int. Rec. SAC,PAK Int. Rec. SAC
12400427,AR: APAK Int. Rec. NON-SAC,APAK Int. Rec. N-SAC
12400520,FC:Finance Contracts-Banner,Finance Contrs-Banr
12400523,FC:Fin Con - Plastic Venting,Fin Con - Plas Vent
12400525,FC:Finance-Chim Liners Clearng,Fince-Chim Linrs Clg
12400539,FC:Fin Con-3rdPartyDeals Clear,Fin Con-3rdParty Clr
12400541,FC: Fin Reg. Fee (clearing),Fin Reg. Fee clg
12400542,FC: Fin Cust Change (clearing),Fin Cust Change clg
12400545,FC:Finance Contracts - APAK,Finance Conts - APAK
12400546,FC:Current Portion FC-Contra,Current Por FC-Contr
12400547,FC:Current Portion FC,Current Portion FC
12400550,FC:Deferred Dealer Fees,Deferred Dealer Fees
12400980,BAD:Prov for D/Accts - UE Fin,Prov D/Acts-UE Fin
12500950,BAD:Prov for Bad Debt-HVAC,Prov for BD-HVAC
12500951,BAD:Prov for Bad Debt- Acqrd,Prov for BD- Acqrd
12500952,BAD:Prov for Bad Debt-COD,Prov for BD-COD
12500953,BAD:Prov for Bad Debt-UEI_WIP,Prov for BD-UEI_WIP
12500960,BAD:Write-off/Recovery D/Accts,Write-off/Recy D/Act
12500970,BAD:Prov. for bad debt-Rental,Prov. for bD-Rental
12500975,BAD:Prov for D/Accts- CPP,Prov for D/Acts- CPP
12500985,BAD:Provision for D/Accts-OHE,Prov D/Accts-OHE
12500954,BAD:Prov for Bad Debt-RNC,Prov for Bd Debt-RNC
12700500,AFDA: Prov for BadDebt FA-Gas,Prov for BD FA-Gas
12700550,AFDA: Prov for BadDebt FA-Elec,Prov for BD FA-Elec
13020200,INV:Perpetual - Control Acct.,Perpetual -Conl Act.
13020201,INV: Inventory - Non-Control,Inventory - Non-C
13020300,INV:Inventory (IFS)-ControlAct,Inv (IFS)-Con
13020330,INV:Inventory-In Transit (IFS),Inv-In Trt (IFS)
13020333,INV:Trnsfr SOL/IFS clearing,Trnsfr SOL/IFS clg
13020400,INV:Inventory Writedown Prov,Inv Writedown Prov
13020401,INV:USD invtry writedown prov,USD invt writed prov
13020800,INV: In-transit Inventory,In-transit Inventory
14010100,PPD:Prepaid Expenses,PPD:Prepaid Expenses
14010110,PPD:Deposits,PPD:Deposits
14010150,PPD: National Builder Prepaid,Nat Builder Prepaid
14010412,PPD:BannerInterfaceMiscClearng,BanrInterfaceMiscClg
14010900,PPD:Refund Clearing,PPD:Refund Clearing
14040950,TAX: Income Taxes Receivable,Income Taxes Rec
15000010,Vehicles,Vehicles
15000020,Tools,Tools
15000030,Furniture & Fixtures,Furniture & Fixtures
15009010,Vehicles (Manual),Vehicles (Manual)
15009020,FA:Tools (Manual),Tools (Manual)
15009030,"Furniture, Fixtures, Office (Manual)","Furnt, Fixs, Off-Man"
15009050,Leasehold Improvements (Manual),Leasehold Improv-Man
15009080,Computer Hardware (Manual),Comp Hardware-Man
15009110,FA:Communications Equipment (Manual),Comm Equip (Manual)
15009120,Warehouse Equipment (Manual),Warehouse Equip-Man
15009130,Fixed Assets - Other (Manual),Fixed A - Other-Man
15409808,IA: TAS Plumbing (Manual),IA: TAS Plumbing M
15409813,IA:Field (Manual),IA:Field (Manual)
15409817,IA: Bronco Plumbing (Manual),IA: Bronco Plumbg M
15409824,IA:Cust Rltp Ext Gen RentAHeat (Manual),IA:Cust Rp Ext Gen M
15409828,IA:Customer Relationships (Manual),IA:Customer Relp M
15409803,IA:Trademarks Manual),IA:Trademarks Manual
15408981,IA:Intgbl Application Software Post CANCO,IA:Int Ap SW pst CAN
15409840,IA:Intgbl Application Software (Manual),IA: Ext Appl Sof-Man
15000050,Leasehold,Leasehold
15000080,Computer Hardware,Computer Hardware
15000085,Handhelds and Tradebooth,Handheld &Tradebooth
15000110,Communication Equipment,Communication Equipt
15000120,Warehouse  Equipment,Warehouse  Equipment
15000130,Fixed Assets - Others,Fixed Assets - Other
15100502,Res RWH Gas PV,Res RWH Gas PV
15100504,Res RWH Gas DV,Res RWH Gas DV
15100506,Res RWH Gas CV,Res RWH Gas CV
15100550,Res RWH- Heating,Res RWH- Heating
15100560,Comm RWH- Gas Tanks,Comm RWH- Gas Tanks
15100562,CommReco WH-GasTanks,CommReco WH-GasTanks
15100575,Electric RWH- New Tanks,Elc RWH-New Tanks
15100585,Rental HVAC- Air Conditoner,Rental HVAC-Air Cond
15100590,Rental HVAC- Furnace,Rental HVAC- Furnace
15100595,Rental HVAC- Others,Rental HVAC- Others
15100630,Smart Home,Smart Home
15109502,Res RWH Gas PV (Manual),Res RWH Gas PV-Man
15109504,Res RWH Gas DV (Manual),Res RWH Gas DV M
15109506,Res RWH Gas CV (Manual),Res RWH Gas CV-Man
15109550,Res RWH- Heating (Manual),Res RWH- Heating M
15109560,Comm RWH- Gas Tanks (Manual),Comm RWH- Gas Tank M
15109562,CommReco WH-GasTanks (Manual),ComReco WH-GasTank M
15109575,Electric RWH- New Tanks (Manual),Elect RWH- N Tks-Man
15109585,Rental HVAC- Air Conditoner (Manual),Rntl HVAC-Air Cond M
15109590,Rental HVAC- Furnace (Manual),Rentl HVAC- Furn-Man
15109595,Rental HVAC- Others (Manual),Rentl HVAC-Othrs-Man
15109630,Smart Home (Manual),Smart Home M
15200829,Cust Rltp IntGen RHVAC,Cust Rl IntGen RHVAC
15200833,Cust Rltp Int Gen Comm,Cust Rl Int Gen Comm
15200836,Prop Mgmt Retention Allowan,Prop Mgmt Ret Allown
15209000,Cust Rltp Manual,Cust Rltp Manual
15308000,Leased Capital Assets,Leased Capl Assets
15308100,Leased Capital Assets - COGS,Leased Cap Ass- COGS
15309000,Leased Capital Assets (Manual),Leased C Assets-Man
15318100,Leased Buildings,Leased Buildings
15319100,Leased Buildings (Manual),Leased Building-Man
15400802,IA: Capital IFS Project Phoeni,IA: Capl IFS  Phoeni
15400803,IA:Trademarks,IA:Trademarks
15400809,IA: Simply Smart,IA: Simply Smart
15400815,IA: Simply Energy,IA: Simply Energy
15400819,IA: Simply Green Crown Crest,IA: Simply Green CC
15400820,IA:Dealer & Builder Relnships,IA:Dealer & Buid Rel
15400821,IA: Cust Rltp Ext Genesis,IA: Cust Rltp Ext Ge
15400822,IA: Cust Rltp Ext Gen Viva,IA: CR Ext Gen Viva
15400823,IA:Cust Rltp Ext Gen Utilebill,IA:CR Ext Gen UB
15400825,IA: Cust Rltp Ext Gen Enwise,IA: CR Ext Gen En
15400826,IA: Cust Rltp Ext Gen Enwin,IA: CR Ext Gen Enw
15400827,IA: Cust Rltp Ext Gen Maxium,IA: CR Ext Gen Max
15400828,IA:Customer Relationships,IA:Customer Relatin
15400829,IA: NHS Intangible Assets,IA: NHS Intangible A
15400831,IA:Cust Rltp Ext Gen LivClean,IA:CR Ext Gen LivC
15400834,IA: Cust Rltp Ext Gen Sears,IA: CR Ext Gen S
15400835,IA:Cust Rltp Ext Gen Summit,IA:CR Ext Gen Summit
15400837,IA:Cust Rltp Ext Gen Lennox,IA:CR Ext Gen Lennox
15400838,IA:Cust Rltp Ext Gen NRG,IA:CR Ext Gen NRG
15400839,IA: Cust Rltp Ext Gen Alliance,IA: CR Ext Gen All
15400840,IA:Intgbl Application Software,IA: Ext Appl Softwa
15400842,IA: Intngbl Appl SW INTERNAL,IA: Intl Appl Softw
15400843,IA:Cust Rltp Ext Gen Utilebill2,IA:Cust R Utilebill2
15409898,IA: Intngbl Asset-CANCO (Manual),IA: Intbl As-CANCO M
15700000,GW:Goodwill,GW:Goodwill
15800000,Fixed Assets Technical Clearing Account,FA Techn Clg Account
15800010,Vehicles APC Clearing Account,Vehicles APC Clg
15800020,Tools APC Clearing Account,Tools APC Clg
15800030,Furniture & Fixtures APC Clearing Account,Furn & Fix APC Clg
15800050,Leaseholds APC Clearing Account,Leaseholds APC Clg
15800080,Computer Hardware APC Clearing Account,Computer Hdw APC Clg
15800085,Handheld Devices  APC Clearing Account,Handheld Dev APC Clg
15800110,Communication Equipment APC Clearing Account,Comm Equip APC Clg
15800120,Warehouse  Equipment APC Clearing Account,Wareh  Equip APC Clg
15800130,Fixed Assets - Others APC Clearing Account,FA - Oths APC Clg
15808000,Leased Capital Assets APC Clearing Account,Lesd Cap As  APC Clg
15808100,Leased Buildings APC Clearing Account,Leased Buldg APC Clg
15808120,Cust RI IntGen RHVAC APC Clearing Account,Cust  RHVAC APC Clg
15808140,Prop Mgmt Ret Allown APC Clearing Account,Prp Mgmt All APC Clg
15850050,Leasehold Improvements (AUC),Leasehold Imp (AUC)
15900200,CIP:Rental (AUC),CIP:Rental (AUC)
15909200,CIP: Rental (AUC) (Manual),CIP:Rental (AUC) M
15950140,IA:Externally Gen IA - WIP (AUC),IA:Ext Gen IA - WIP
15950143,IA: WIP UEI Software Project (AUC),IA: WIP UEI Sofw Pro
15950144,IA:Project Edison (AUC),IA:Proj Edison AUC
16000010,AD:Vehicles,AD:Vehicles
16000020,AD:Tools,AD:Tools
16000030,"AD:Furniture, Fixtures, Office","AD:Furnt, Fixt, Off"
16000050,AD:Leasehold Improvements,AD:Leasehold Improv
16000080,AD:Computer Hardware,AD:Computer Hardware
16000085,AD:Hndhld/Trdshw Bth (3yrs SL),AD:Hndhld/Trdshw Bth
16000110,AD:Communications Equipment,AD:Communications Eq
16000120,AD:Warehouse Equipment,AD:Warehouse Eq
16000130,AD:Fixed Assets Other,AD:Fixed Assets Oth
16009010,AD:Vehicles (Manual),AD:Vehicles (Manual)
16009020,AD:Tools (Manual),AD:Tools (Manual)
16009030,"AD:Furniture, Fixtures, Office (Manual)","AD:Frnit, Fixt-Man"
16009050,AD:Leasehold Improvements (Manual),AD:Leasehld Impr-Man
16009080,AD:Computer Hardware (Manual),AD:Computer Hard-Man
16009110,AD:Communications Equipment (Manual),AD:Com Equp (Manual)
16009120,AD:Warehouse Equipment (Manual),AD:Warehse Equip-Man
16009130,AD:Fixed Assets Other (Manual),AD:Fixed A-Man
16100502,AD:Res RWH Gas PV,AD:Res RWH Gas PV
16100504,AD:Res RWH Gas DV,AD:Res RWH Gas DV
16100506,AD:Res RWH Gas CV,AD:Res RWH Gas CV
16100550,AD:Res RWH- Heating,AD:Res RWH- Heating
16100560,AD:Comm RWH- Gas Tanks,AD:Comm RWH-Gas Tank
16100562,AD:CommReco WH-GasTanks,AD:CommReco WH-GasT
16100575,AD:Electric RWH- New Tanks,AD:ElectricRWH-New T
16100585,AD:Rental HVAC-Air Conditioner,AD:Rent HVAC-Air Con
16100590,AD:Rental HVAC- Furnace,AD:Rental HVAC- Furn
16100595,AD:Rental HVAC- Others,AD:Rental HVAC- Oth
16100630,AD: Smart Home,AD: Smart Home
16109504,AD:Res RWH Gas DV (Manual),AD:Res RWH Gas DV M
